1;116.605692;40.05212;1;1;
2;116.60727;40.042365;3;1;2;2362;
4;116.605722;40.052105;1;2;
5;116.447503;40.117451;1;3;
6;116.448636;40.107338;2;3;4;
8;116.439879;40.100862;2;4;5;
10;116.429388;40.102695;2;5;6;
12;116.405973;40.103065;2;6;7;
14;116.386227;40.101406;2;7;8;
16;116.373565;40.100076;2;8;9;
18;116.360804;40.098565;2;9;10;
20;116.347713;40.09789;2;10;11;
22;116.33506;40.097398;2;11;12;
24;116.32234;40.097113;2;12;13;
26;116.310496;40.096689;2;13;14;
28;116.2914;40.093625;2;14;1800;
29;116.291545;40.093419;2;15;1799;
30;116.303126;40.095829;2;15;16;
32;116.315687;40.096839;2;16;17;
34;116.329114;40.097077;2;17;18;
36;116.342452;40.097602;2;18;19;
38;116.354238;40.098181;2;19;20;
40;116.371644;40.099792;2;20;21;
42;116.38625;40.101353;2;21;22;
44;116.39999;40.102514;2;22;23;
46;116.418636;40.102025;2;23;24;
48;116.432231;40.102832;2;24;25;
50;116.444254;40.101107;2;25;26;
52;116.447549;40.117451;1;26;
53;116.430874;39.961595;2;27;29;
54;116.435255;39.958375;1;27;
55;116.435752;39.958379;1;28;
56;116.430897;39.961618;2;28;30;
57;116.429588;39.967849;1;29;
60;116.429619;39.967849;1;30;
61;116.288268;39.865053;2;31;349;
62;116.288876;39.874317;2;31;32;
64;116.289005;39.883922;2;32;33;
66;116.288972;39.895556;2;33;43;
67;116.288874;39.895557;2;34;42;
68;116.288898;39.885978;2;34;35;
70;116.288746;39.87629;2;35;36;
72;116.288048;39.865046;2;36;348;
73;116.318614;39.945188;2;37;38;
74;116.304196;39.944254;1;37;
75;116.304211;39.944124;1;38;
77;116.28197;39.918263;1;39;
78;116.281994;39.911603;1;39;
79;116.282031;39.911603;1;40;
80;116.282008;39.918263;1;40;
81;116.289641;39.917325;4;41;4504;4507;4729;
82;116.288796;39.908385;2;41;42;
86;116.289048;39.905066;2;43;44;
88;116.289846;39.917306;2;44;4723;
89;116.383708;39.884865;1;45;
90;116.383655;39.888176;1;45;
91;116.383609;39.888176;1;46;
92;116.38367;39.884865;1;46;
93;116.295589;39.972027;1;47;
94;116.296992;39.958705;2;47;2236;
95;116.297022;39.958705;2;48;2235;
96;116.295763;39.971833;1;48;
97;116.290228;39.972974;1;49;
98;116.293542;39.957974;2;49;50;
100;116.290318;39.972978;1;50;
101;116.290891;39.966885;2;51;53;
102;116.300782;39.967247;1;51;
103;116.300782;39.967273;1;52;
104;116.283632;39.96571;1;52;
105;116.283662;39.965668;1;53;
107;116.301315;39.965293;1;54;
108;116.295543;39.972531;2;54;55;
110;116.294323;39.982008;2;55;56;
112;116.290515;39.991658;2;56;57;
114;116.282751;40.003086;2;57;2400;
115;116.282606;40.003086;2;58;2401;
116;116.288754;39.995784;2;58;59;
118;116.293355;39.987568;2;59;60;
120;116.294499;39.978361;2;60;61;
122;116.301156;39.965335;1;61;
123;116.411212;39.801299;1;62;
124;116.423801;39.802356;2;62;3495;
125;116.423748;39.802475;2;63;3494;
126;116.411181;39.801326;1;63;
127;116.624669;39.862375;2;64;3350;
128;116.64124;39.86232;2;64;65;
130;116.654397;39.862289;2;65;66;
132;116.667604;39.862264;1;66;
133;116.667596;39.86237;1;67;
134;116.655287;39.862375;2;67;68;
136;116.638173;39.862436;2;68;69;
138;116.624797;39.862478;2;69;3345;
139;116.476677;39.983023;2;70;3238;
140;116.482083;39.978774;1;70;
141;116.482941;39.979078;1;71;
142;116.476745;39.983084;4;71;647;659;3237;
143;116.502424;39.979327;1;72;
144;116.483738;39.979035;1;72;
145;116.483738;39.979008;1;73;
146;116.502424;39.979292;1;73;
147;116.473628;39.80083;2;74;5019;
148;116.465995;39.807748;2;74;75;
150;116.458355;39.814945;2;75;76;
152;116.449859;39.821493;2;76;77;
154;116.441389;39.830588;2;77;3380;
155;116.441236;39.830588;2;78;3379;
156;116.448022;39.822672;2;78;79;
158;116.457427;39.815457;2;79;80;
160;116.465099;39.808451;2;80;81;
162;116.473399;39.800715;3;81;3404;5016;
163;116.474397;39.777382;1;82;
164;116.486832;39.78333;4;82;4642;5015;5018;
165;116.486756;39.78341;2;83;4641;
166;116.474451;39.777504;3;83;1407;1408;
167;116.330611;39.871778;2;84;4712;
168;116.319887;39.8734;2;84;5001;
169;116.319849;39.873389;2;85;5003;
170;116.330611;39.871751;2;85;4711;
171;116.4493;39.944899;2;86;87;
172;116.4493;39.945654;2;86;3467;
173;116.449301;39.932444;2;87;89;
175;116.449262;39.945654;2;88;3468;
176;116.449255;39.932345;2;88;1913;
177;116.449294;39.932345;2;89;1915;
179;116.337649;39.905859;4;90;2437;2438;4230;
180;116.338416;39.921852;2;90;3113;
181;116.338271;39.921852;2;91;3112;
182;116.337528;39.905859;2;91;4229;
183;116.329283;39.905901;2;92;97;
184;116.32846;39.916915;2;92;93;
186;116.327986;39.926838;2;93;94;
188;116.327033;39.9367;1;94;
189;116.326813;39.936712;1;95;
190;116.327811;39.927712;2;95;96;
192;116.328399;39.917995;2;96;97;
195;116.302333;40.04519;1;98;
196;116.295717;40.043195;1;98;
197;116.295762;40.043134;1;99;
198;116.302371;40.04514;1;99;
199;116.308759;40.036069;2;100;3106;
200;116.300774;40.034119;2;100;5504;
201;116.300812;40.034016;2;101;5509;
202;116.308798;40.03602;2;101;3102;
203;116.311403;40.028538;1;102;
204;116.307998;40.037108;2;102;103;
206;116.302356;40.045198;2;103;104;
208;116.293872;40.059791;1;104;
209;116.293834;40.059776;1;105;
210;116.298426;40.051998;2;105;106;
212;116.308782;40.036012;2;106;107;
214;116.311365;40.028534;1;107;
215;116.293074;40.047529;2;108;109;
216;116.298412;40.04874;2;108;4771;
217;116.298389;40.04879;2;109;4772;
219;116.312841;40.028799;2;110;3664;
220;116.307086;40.027825;1;110;
221;116.307094;40.027799;1;111;
222;116.312848;40.028772;2;111;3663;
223;116.307094;40.027814;2;112;115;
224;116.300293;40.035295;2;112;113;
226;116.291512;40.053028;1;113;
227;116.29142;40.05299;1;114;
228;116.295595;40.04339;2;114;115;
231;116.229733;39.906255;2;116;5543;
232;116.226737;39.915019;2;116;117;
234;116.221863;39.923717;2;117;3159;
235;116.221718;39.923721;2;118;3158;
236;116.225706;39.916106;2;118;119;
238;116.229595;39.906251;2;119;5541;
239;116.189168;40.150671;1;120;
240;116.195648;40.14298;2;120;121;
242;116.201422;40.134677;2;121;122;
244;116.204756;40.125463;2;122;123;
246;116.206662;40.114709;2;123;124;
248;116.205562;40.105549;2;124;125;
250;116.208307;40.095765;2;125;126;
252;116.210105;40.086276;2;126;127;
254;116.211705;40.0721;2;127;128;
256;116.213395;40.060166;2;128;129;
258;116.214268;40.050135;2;129;130;
260;116.216668;40.040071;1;130;
261;116.206103;40.121726;2;131;141;
262;116.202714;40.131197;2;131;132;
264;116.198371;40.139677;2;132;133;
266;116.189199;40.150686;1;133;
267;116.216699;40.040048;1;134;
268;116.214306;40.050139;2;134;135;
270;116.213433;40.06017;2;135;136;
272;116.211735;40.072104;2;136;137;
274;116.210763;40.080998;2;137;138;
276;116.209723;40.090872;2;138;139;
278;116.207038;40.101107;2;139;140;
280;116.204851;40.109999;2;140;141;
